Date,Close/Last,Volume,Open,High,Low
09/12/2025,$221.15,2634690,$224.50,$224.815,$220.81
09/11/2025,$224.53,4152549,$226.11,$228.6599,$223.411
09/10/2025,$225.85,5142081,$229.90,$232.21,$224.02
09/09/2025,$225.56,3949406,$223.00,$225.83,$222.10
09/08/2025,$226.52,4519522,$226.84,$230.95,$225.995
09/05/2025,$225.58,5889395,$223.92,$226.50,$221.19
09/04/2025,$221.90,13279990,$222.70,$224.05,$215.05
09/03/2025,$229.33,6749008,$234.85,$236.50,$227.844
09/02/2025,$233.60,7218016,$234.00,$235.2599,$228.40
08/29/2025,$238.66,11742140,$236.93,$241.50,$233.29
08/28/2025,$241.00,42167450,$222.00,$249.99,$218.09
08/27/2025,$200.39,17841890,$201.75,$202.54,$196.66
08/26/2025,$194.35,4665905,$195.20,$196.50,$193.42
08/25/2025,$194.68,3770606,$199.00,$200.47,$194.67
08/22/2025,$196.81,3107867,$195.16,$199.91,$193.87
08/21/2025,$194.68,2848425,$192.81,$195.29,$191.24
08/20/2025,$194.80,4945563,$197.61,$197.77,$189.99
08/19/2025,$192.63,3582705,$199.39,$199.95,$191.3212
08/18/2025,$198.24,2379307,$197.47,$198.64,$196.11
08/15/2025,$199.08,3344882,$195.25,$200.34,$194.80
08/14/2025,$194.90,2791038,$195.94,$197.50,$193.705
08/13/2025,$196.87,4429356,$194.125,$198.24,$193.00
08/12/2025,$193.06,3944781,$191.75,$194.00,$188.00
08/11/2025,$191.80,5214015,$192.16,$196.73,$191.12
08/08/2025,$191.73,8616058,$205.79,$206.40,$191.33
08/07/2025,$206.40,4619413,$215.00,$215.39,$200.8001
08/06/2025,$210.54,3236562,$205.97,$211.00,$205.80
08/05/2025,$205.77,4003943,$208.25,$209.89,$204.66
08/04/2025,$208.48,3422662,$207.70,$210.41,$205.65
08/01/2025,$205.02,8577996,$216.80,$216.80,$202.87
07/31/2025,$223.50,6227727,$225.13,$229.27,$220.94
07/30/2025,$220.28,3175254,$218.75,$222.1899,$217.7102
07/29/2025,$218.76,2487933,$220.36,$220.60,$217.01
07/28/2025,$218.67,3441933,$219.93,$222.30,$216.92
07/25/2025,$219.51,3259067,$215.425,$220.92,$215.14
07/24/2025,$215.02,2226104,$214.51,$217.00,$212.11
07/23/2025,$212.56,1692462,$211.77,$213.6099,$210.40
07/22/2025,$212.25,2537030,$214.905,$216.60,$211.40
07/21/2025,$215.65,2922451,$217.00,$218.72,$214.26
07/18/2025,$216.89,3384165,$212.69,$217.54,$212.20
07/17/2025,$211.58,2681779,$211.75,$214.03,$210.31
07/16/2025,$211.94,2790937,$212.98,$214.00,$209.2532
07/15/2025,$212.79,3249067,$213.75,$215.10,$212.25
07/14/2025,$213.52,2863820,$209.865,$214.94,$208.60
07/11/2025,$210.84,3868631,$213.48,$215.49,$209.46
07/10/2025,$214.42,4799553,$221.83,$222.30,$213.2242
07/09/2025,$221.90,2658440,$224.60,$224.75,$220.93
07/08/2025,$223.50,3412521,$225.60,$226.60,$220.84
